,Date,Price
860,2017-05-10,294.45
861,2017-05-11,298.1
862,2017-05-12,297.9
863,2017-05-13,297.9
864,2017-05-14,297.9
865,2017-05-15,301.4
866,2017-05-16,307.5
867,2017-05-17,307.65
868,2017-05-18,302.95
869,2017-05-19,308.0
870,2017-05-20,308.0
871,2017-05-21,308.0
872,2017-05-22,294.3
873,2017-05-23,288.85
874,2017-05-24,283.15
875,2017-05-25,290.1
876,2017-05-26,288.45
877,2017-05-27,288.45
878,2017-05-28,288.45
879,2017-05-29,284.0
880,2017-05-30,288.85
881,2017-05-31,288.3
882,2017-06-01,287.45
883,2017-06-02,287.05
884,2017-06-03,287.05
885,2017-06-04,287.05
886,2017-06-05,287.25
887,2017-06-06,287.3
888,2017-06-07,290.55
889,2017-06-08,288.6
890,2017-06-09,288.55
891,2017-06-10,288.55
892,2017-06-11,288.55
893,2017-06-12,284.95
894,2017-06-13,283.85
895,2017-06-14,284.2
896,2017-06-15,284.0
897,2017-06-16,285.95
898,2017-06-17,285.95
899,2017-06-18,285.95
900,2017-06-19,288.85
901,2017-06-20,290.1
902,2017-06-21,290.9
903,2017-06-22,294.5
904,2017-06-23,288.95
905,2017-06-24,288.95
906,2017-06-25,288.95
907,2017-06-26,288.95
908,2017-06-27,279.65
909,2017-06-28,276.4
910,2017-06-29,272.45
911,2017-06-30,273.65
912,2017-07-01,273.65
913,2017-07-02,273.65
914,2017-07-03,274.85
915,2017-07-04,273.0
916,2017-07-05,274.9
917,2017-07-06,281.0
918,2017-07-07,280.1
919,2017-07-08,280.1
920,2017-07-09,280.1
921,2017-07-10,285.55
922,2017-07-11,283.55
923,2017-07-12,287.65
924,2017-07-13,288.75
925,2017-07-14,291.6
926,2017-07-15,291.6
927,2017-07-16,291.6
928,2017-07-17,293.0
929,2017-07-18,291.0
930,2017-07-19,293.3
931,2017-07-20,290.95
932,2017-07-21,290.65
933,2017-07-22,290.65
934,2017-07-23,290.65
935,2017-07-24,294.55
936,2017-07-25,296.1
937,2017-07-26,295.8
938,2017-07-27,298.35
939,2017-07-28,299.1
940,2017-07-29,299.1
941,2017-07-30,299.1
942,2017-07-31,312.5
943,2017-08-01,309.0
944,2017-08-02,307.7
945,2017-08-03,300.55
946,2017-08-04,305.25
947,2017-08-05,305.25
948,2017-08-06,305.25
949,2017-08-07,311.2
950,2017-08-08,303.65
951,2017-08-09,302.3
952,2017-08-10,296.7
953,2017-08-11,280.15
954,2017-08-12,280.15
955,2017-08-13,280.15
956,2017-08-14,278.2
957,2017-08-15,278.2
958,2017-08-16,283.1
959,2017-08-17,280.85
960,2017-08-18,278.7
961,2017-08-19,278.7
962,2017-08-20,278.7
963,2017-08-21,274.65
964,2017-08-22,273.9
965,2017-08-23,279.0
966,2017-08-24,280.3
967,2017-08-25,280.3
968,2017-08-26,280.3
969,2017-08-27,280.3
970,2017-08-28,279.35
971,2017-08-29,277.0
972,2017-08-30,276.6
973,2017-08-31,277.75
974,2017-09-01,277.85
975,2017-09-02,277.85
976,2017-09-03,277.85
977,2017-09-04,277.75
978,2017-09-05,276.55
979,2017-09-06,274.25
980,2017-09-07,274.2
981,2017-09-08,271.8
982,2017-09-09,271.8
983,2017-09-10,271.8
984,2017-09-11,270.95
985,2017-09-12,273.45
986,2017-09-13,273.4
987,2017-09-14,274.2
988,2017-09-15,271.5
989,2017-09-16,271.5
990,2017-09-17,271.5
991,2017-09-18,270.4
992,2017-09-19,267.8
993,2017-09-20,270.05
994,2017-09-21,268.5
995,2017-09-22,261.85
996,2017-09-23,261.85
997,2017-09-24,261.85
998,2017-09-25,258.75
999,2017-09-26,258.25
1000,2017-09-27,250.4
1001,2017-09-28,252.55
1002,2017-09-29,253.85
1003,2017-09-30,253.85
1004,2017-10-01,253.85
1005,2017-10-02,253.85
1006,2017-10-03,251.3
1007,2017-10-04,253.2
1008,2017-10-05,251.6
1009,2017-10-06,256.75
1010,2017-10-07,256.75
1011,2017-10-08,256.75
1012,2017-10-09,256.85
1013,2017-10-10,256.95
1014,2017-10-11,251.75
1015,2017-10-12,251.2
1016,2017-10-13,252.1
1017,2017-10-14,252.1
1018,2017-10-15,252.1
1019,2017-10-16,252.05
1020,2017-10-17,251.15
1021,2017-10-18,243.75
1022,2017-10-19,242.75
1023,2017-10-20,242.75
1024,2017-10-21,242.75
1025,2017-10-22,242.75
1026,2017-10-23,245.95
1027,2017-10-24,254.45
1028,2017-10-25,324.9
1029,2017-10-26,320.5
1030,2017-10-27,311.05
1031,2017-10-28,311.05
1032,2017-10-29,311.05
1033,2017-10-30,312.0
1034,2017-10-31,305.8
1035,2017-11-01,319.85
1036,2017-11-02,314.35
1037,2017-11-03,325.0
1038,2017-11-04,325.0
1039,2017-11-05,325.0
1040,2017-11-06,329.0
1041,2017-11-07,317.2
1042,2017-11-08,309.55
1043,2017-11-09,313.7
1044,2017-11-10,333.55
1045,2017-11-11,333.55
1046,2017-11-12,333.55
1047,2017-11-13,331.05
1048,2017-11-14,329.1
1049,2017-11-15,324.95
1050,2017-11-16,333.4
1051,2017-11-17,337.5
1052,2017-11-18,337.5
1053,2017-11-19,337.5
1054,2017-11-20,333.0
1055,2017-11-21,330.65
1056,2017-11-22,335.3
1057,2017-11-23,334.95
1058,2017-11-24,332.4
1059,2017-11-25,332.4
1060,2017-11-26,332.4
1061,2017-11-27,335.65
1062,2017-11-28,332.0
1063,2017-11-29,328.9
1064,2017-11-30,320.35
1065,2017-12-01,312.75
1066,2017-12-02,312.75
